widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
27,the,2.0,1.0,0.0,DT,det,3.0,3.0,3.0,3.0,-2.0,1,"My fellow citizens , at this last Presidential Inauguration of the 20th century , let us lift our eyes toward the challenges that await us in the next century .",8,7
28,next,5.0,1.0,1.0,JJ,amod,2.0,2.0,2.0,2.0,-1.0,1,"My fellow citizens , at this last Presidential Inauguration of the 20th century , let us lift our eyes toward the challenges that await us in the next century .",8,7
29,century,6.0,3.0,1.0,NN,nmod:in,1.0,1.0,1.0,1.0,0.0,1,"My fellow citizens , at this last Presidential Inauguration of the 20th century , let us lift our eyes toward the challenges that await us in the next century .",8,7
30,.,,,,.,,,,,,,1,"My fellow citizens , at this last Presidential Inauguration of the 20th century , let us lift our eyes toward the challenges that await us in the next century .",8,7
1,It,2.0,1.0,1.0,PRP,nsubj,4.0,4.0,4.0,4.0,-3.0,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
2,is,2.0,1.0,1.0,VBZ,cop,3.0,3.0,2.0,3.0,-1.75,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
3,our,2.0,2.0,1.0,PRP$,nmod:poss,4.0,4.0,4.0,4.0,-3.0,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
4,great,4.0,1.0,1.0,JJ,amod,3.0,3.0,3.0,3.0,-2.0,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
5,good,3.0,1.0,1.0,JJ,amod,3.0,3.0,3.0,3.0,-2.0,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
6,fortune,6.0,2.0,1.0,NN,root,2.0,2.0,2.0,2.0,-1.0,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
7,that,3.0,1.0,1.0,IN,mark,3.0,3.0,2.0,3.0,-1.75,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
8,time,3.0,1.0,1.0,NN,nsubj,3.0,3.0,3.0,3.0,-2.0,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
9,and,3.0,1.0,1.0,CC,cc,4.0,4.0,4.0,4.0,-3.0,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
10,chance,4.0,1.0,1.0,NN,conj:and,2.0,2.0,2.0,2.0,-1.0,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
11,have,3.0,1.0,1.0,VBP,aux,3.0,3.0,2.0,3.0,-1.75,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
12,put,3.0,1.0,1.0,VBN,ccomp,2.0,2.0,2.0,2.0,-1.0,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
13,us,2.0,1.0,1.0,PRP,ccomp,4.0,4.0,2.0,4.0,-2.5,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
14,not,3.0,1.0,1.0,RB,dobj,3.0,3.0,3.0,3.0,-2.0,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
15,only,4.0,2.0,1.0,JJ,neg,5.0,5.0,5.0,5.0,-4.0,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
16,at,2.0,1.0,1.0,IN,cc:preconj,5.0,5.0,4.0,5.0,-3.75,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
17,the,2.0,1.0,0.0,DT,case,6.0,6.0,6.0,6.0,-5.0,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
18,edge,2.0,1.0,1.0,NN,det,5.0,5.0,5.0,5.0,-4.0,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
19,of,2.0,1.0,1.0,IN,nmod:at,6.0,6.0,5.0,6.0,-4.75,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
20,a,1.0,1.0,0.0,DT,case,6.0,6.0,6.0,6.0,-5.0,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
21,new,2.0,1.0,1.0,JJ,det,6.0,6.0,6.0,6.0,-5.0,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
22,century,6.0,3.0,1.0,NN,amod,4.0,4.0,4.0,4.0,-3.0,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
23,",",,,,",",,,,,,,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
24,in,2.0,1.0,0.0,IN,nmod:of,5.0,5.0,4.0,5.0,-3.75,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
25,a,1.0,1.0,0.0,DT,case,5.0,5.0,5.0,5.0,-4.0,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
26,new,2.0,1.0,1.0,JJ,det,5.0,5.0,5.0,5.0,-4.0,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
27,millennium,8.0,4.0,1.0,NN,amod,3.0,3.0,3.0,3.0,-2.0,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
28,",",,,,",",,,,,,,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
29,but,3.0,1.0,1.0,CC,nmod:in,4.0,4.0,4.0,4.0,-3.0,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
30,on,2.0,1.0,1.0,IN,cc,4.0,4.0,3.0,4.0,-2.75,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
31,the,2.0,1.0,0.0,DT,case,5.0,5.0,5.0,5.0,-4.0,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
32,edge,2.0,1.0,1.0,NN,det,4.0,4.0,4.0,4.0,-3.0,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
33,of,2.0,1.0,1.0,IN,nmod:on,4.0,4.0,3.0,4.0,-2.75,2,"It is our great good fortune that time and chance have put us not only at the edge of a new century , in a new millennium , but on the edge of a bright new prospect in human affairs , a moment that will define our course and our character for decades to comes .",15,13
