widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
17,sense,4.0,1.0,1.0,NN,compound,3.0,3.0,3.0,3.0,-2.0,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
18,I,1.0,1.0,1.0,NN,compound,2.0,2.0,2.0,2.0,-1.0,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
19,entertain,7.0,3.0,2.0,NN,dobj,3.0,3.0,3.0,3.0,-2.0,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
20,of,2.0,1.0,1.0,IN,dobj,3.0,3.0,2.0,3.0,-1.75,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
21,this,3.0,1.0,1.0,DT,case,4.0,4.0,3.0,4.0,-2.75,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
22,distinguished,11.0,3.0,1.0,JJ,det,4.0,4.0,4.0,4.0,-3.0,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
23,honor,3.0,2.0,1.0,NN,amod,2.0,2.0,2.0,2.0,-1.0,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
24,",",,,,",",,,,,,,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
25,and,3.0,1.0,1.0,CC,nmod:of,3.0,3.0,3.0,3.0,-2.0,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
26,of,2.0,1.0,1.0,IN,cc,4.0,4.0,3.0,4.0,-2.75,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
27,the,2.0,1.0,0.0,DT,case,4.0,4.0,4.0,4.0,-3.0,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
28,confidence,9.0,3.0,1.0,NN,det,3.0,3.0,3.0,3.0,-2.0,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
29,which,3.0,1.0,1.0,WDT,nmod:of,4.0,4.0,2.0,4.0,-2.5,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
30,has,3.0,1.0,1.0,VBZ,nsubjpass,2.0,2.0,2.0,2.0,-1.0,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
31,been,3.0,1.0,1.0,VBN,aux,3.0,3.0,2.0,3.0,-1.75,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
32,reposed,,,,VBN,auxpass,3.0,3.0,3.0,3.0,-2.0,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
33,in,2.0,1.0,0.0,IN,dep,4.0,4.0,3.0,4.0,-2.75,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
34,me,2.0,1.0,1.0,PRP,case,5.0,5.0,2.0,5.0,-3.25,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
35,by,2.0,1.0,1.0,IN,nmod:in,3.0,3.0,2.0,3.0,-1.75,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
36,the,2.0,1.0,0.0,DT,case,4.0,4.0,4.0,4.0,-3.0,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
37,people,5.0,2.0,1.0,NNS,det,3.0,3.0,3.0,3.0,-2.0,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
38,of,2.0,1.0,1.0,IN,nmod:by,3.0,3.0,2.0,3.0,-1.75,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
39,united,7.0,3.0,1.0,NNP,case,1.0,1.0,1.0,1.0,0.0,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
40,America,7.0,4.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
41,.,,,,.,,,,,,,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
1,Previous,7.0,3.0,1.0,JJ,nsubj,3.0,3.0,3.0,3.0,-2.0,4,Previous to the execution of any official act of the President the Constitution requires an oath of office .,3,3
